"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
1367,,"655",TEIXEIRA DE FREITAS,LAJEDÃO,"655 - TEIXEIRA DE FREITAS - LAJEDÃO VIA BARCELONA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
968,,"444I",VITÓRIA DA CONQUISTA,URANDI,"444I - VITÓRIA DA CONQUISTA - URANDI VIA ENTRONC BR116 / BA265 / BELO CAMPO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
476,,"206",VITÓRIA DA CONQUISTA,POÇÕES,"206 - VITÓRIA DA CONQUISTA - POÇÕES VIA CAETANOS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
39,,"023",VITÓRIA DA CONQUISTA,LIVRAMENTO DE NOSSA SENHORA,"023 - VITÓRIA DA CONQUISTA - LIVRAMENTO DE NOSSA SENHORA VIA DOM BASÍLIO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1439,,"756",GUANAMBI,BOM JESUS DA LAPA,"756 - GUANAMBI - BOM JESUS DA LAPA via CAETITÉ / IGAPORÃ",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1235,,"584",BOM JESUS DA LAPA, AGROVILAS XVI,"584 - BOM JESUS DA LAPA - AGROVILAS XVI VIA EIXO II",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
465,,"199",ITABUNA,PAU BRASIL,"199 - ITABUNA - PAU BRASIL",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1471,,"803A2.URB",NOVA DIAS D'ÁVILA,TERMINAL RETIRO,"803A2.URB - NOVA DIAS D'ÁVILA - TERMINAL RETIRO",,,CONTRATO DE CONCESSÃO,ADICIONAL / DIFERENCIADO,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
1065,,"504",TEIXEIRA DE FREITAS,NOVA VIÇOSA,"504 - TEIXEIRA DE FREITAS - NOVA VIÇOSA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
1854,,"2064",BOM JESUS DA LAPA,BOA VISTA (POV SERRA DO RAMALHO),"2064 - BOM JESUS DA LAPA - BOA VISTA (POV SERRA DO RAMALHO)",true,2,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
193,,"082A.EXE",SALVADOR,SERROLÂNDIA,"082A.EXE - SALVADOR - SERROLÂNDIA VIA MAIRI",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1259,,"593X",GUANAMBI,POSTO DO ROSÁRIO,"593X - GUANAMBI - POSTO DO ROSÁRIO VIA MATINA / SÃO DESIDÉRIO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
910,,"413",JUAZEIRO,CANUDOS,"413 - JUAZEIRO - CANUDOS VIA ENT PINHÕES/ BR235",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
196,,"082E.EXE",SALVADOR,IPIRÁ,"082E.EXE - SALVADOR - IPIRÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
143,,"067",SALVADOR,INHAMBUPE,"067 - SALVADOR - INHAMBUPE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
600,,"250",VITÓRIA DA CONQUISTA,BONINAL,"250 - VITÓRIA DA CONQUISTA - BONINAL VIA BRUMADO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
282,,"117",JEQUIÉ,ITAGI,"117 - JEQUIÉ - ITAGI VIA JITAÚNA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
